URL,PageRank,FileName
https://www.bbc.com/,8.816001160780282e-05,1
https://www.bbc.com/#main-content,8.879002797018679e-05,6
https://www.bbc.com/news,0.00010766583786655076,7
https://www.bbc.com/sport,0.00010766583786655076,8
https://www.bbc.com/business,0.00010766583786655076,9
https://www.bbc.com/innovation,0.00010766583786655076,10
https://www.bbc.com/culture,8.879002797018679e-05,11
https://www.bbc.com/arts,9.013830010564137e-05,12
https://www.bbc.com/travel,9.013830010564137e-05,13
https://www.bbc.com/future-planet,9.013830010564137e-05,14
https://www.bbc.com/audio,9.013830010564137e-05,15
https://www.bbc.com/video,8.879002797018679e-05,16
https://www.bbc.com/live,9.033091041070629e-05,17
https://www.bbc.com/weather,9.033091041070629e-05,18
https://www.bbc.com/newsletters,9.033091041070629e-05,19
https://www.bbc.com/news/articles/cj6868pdpw4o,8.879002797018679e-05,20
https://www.bbc.com/news/articles/c4g4gw18753o,8.879002797018679e-05,21
https://www.bbc.com/news/live/cwyneele13qt,8.879002797018679e-05,22
https://www.bbc.com/news/videos/c8x8x89ll8po,9.508196460230811e-05,23
https://www.bbc.com/news/articles/c4g2gr7994lo,9.508196460230811e-05,24
https://www.bbc.com/news/articles/c8rgrejkvmjo,9.508196460230811e-05,25
https://www.bbc.com/news/articles/cd020j97l79o,8.879002797018679e-05,26
https://www.bbc.com/future/article/20250506-are-chinas-swap-stations-the-future-of-electric-cars,8.879002797018679e-05,27
https://www.bbc.com/culture/article/20250501-the-terrifying-stunts-of-a-french-film-legend,8.979673783132621e-05,28
https://www.bbc.com/audio/play/p0l8mv58,8.879002797018679e-05,29
https://www.bbc.com/news/world,8.879002797018679e-05,30
https://www.bbc.com/news/articles/cd9l9qwyv23o,8.879002797018679e-05,31
https://www.bbc.com/news/articles/c5y6y90e5vzo,8.879002797018679e-05,32
https://www.bbc.com/news/articles/c2de9d8dky0o,8.879002797018679e-05,33
https://www.bbc.com/news/articles/c5y5yd08wy7o,8.879002797018679e-05,34
https://www.bbc.com/news/articles/ce8g8mx50nyo,8.879002797018679e-05,35
https://www.bbc.com/news/videos/c2303k3n38ko,8.879002797018679e-05,36
https://www.bbc.com/news/videos/c7052gnx75qo,0.00011395777449867207,37
